start_time,end_time,words
0,5,Hello friends it 's me today we are watching videos that will make your brain hurt
5,10,I look some skis wo how ' you do that is it broken is
10,15,it chewy is it stretchy what how is it doing this okay this I ca n't
15,20,tell if it 's AI or not because it looks way too realistic but like how do they do that it has to be an edit
20,25,like that thing is stretchy it 's glitching up I think there 's something wrong with your skis you got to wait for them to
25,30,patch Us in the next update Ro is climbing a ladder right okay wow
30,35,very cool very cool have you noticed there 's no support on this ladder oh is he going to go
35,40,through it is he going to pull himself through it and somehow end oh he did a flip even
40,45,better wo you know nothing but sheer determination and Aura keeping this
45,50,ladder up bro flipped himself on a freestanding ladder do you have any idea how
50,55,much strength this would take this is like extremely impressive I would even think I could do
55,60,this on a ladder with some legs with three people holding the ladder bro just casually pretending
60,65,that gravity does n't exist knock knock who 's there wa your
65,70,cat is huge wait a second maybe the house is
70,75,small oh that 's a child okay this is weird it
75,80,looks like a very modern apartment there 's also cars
80,85,outside it 's even got an elevator it even
85,90,makes the elevator sounds and has marble floors like bro this is like a
90,95,super modern futuristic Barbie playhouse for billionaire kids it 's even got
95,100,ambient Lighting on the ceiling for friends sake it 's got a backlit mirror in the
100,105,bathroom this has to be a replica of somebody 's very fancy house it 's
105,110,probably this big maybe bigger kids look like giants in here just drink half a bottle
110,115,of water we 'll save the other half for later okay
115,120,everyone does this bro made a little water bottle boat nothing could
120,125,have prepared me for this moment you drink half a bottle of water half right vertically
125,130,not horizontally what 's wrong with you enjoy sipping the other half from your little water bottle
130,135,boat and leave me out of these Shenanigans I spent 2 weeks looking for my iPad do
135,140,you see the iPad the cover of the iPad matches the seat perfectly it looks like it
140,145,'s part of the seat has nobody accidentally sat on this like is that my frail buttbone or an
145,150,iPad usually when you lose something that you use all the time it 's usually right in front of your eyes
150,155,and then you miss it like where did my glasses go oh nine times out of 10 they 're on my head this
155,160,is an optical illusion called The Parallax effect where it looks like like the plane is just
160,165,floating in place bro is glitching in real time just casually over the ocean like hold on I 'm waiting
165,170,for the other plane to pass before I go so he 's actually moving and if you keep watching the video you
170,175,can kind of see like he 's over the bridge now but the way that the planes are moving together
175,180,when you move in the same parallel plane it looks like you 're not moving at all pretty cool huh
180,185,this is the sanso football stadium in Milan it has a spiral walkway and when people
185,190,are walking on it it looks like the entire staircase is rotating but it 's not it 's just
190,195,the people making it look like it 's rotating is n't that so cool like it looks like
195,200,it 's spinning no the people are making it look like it 's spinning by walking down you know what if they all
200,205,walked up it would rotate the other way walked up it would rotate the other way remake instant Ramen
205,210,okay it 's finished wait what are you doing why did you drain it why are you cleaning it are
210,215,n't you going to eat it are we reversing the entire process with a fine
215,220,tooth comb rearrange all the noodles and the
220,225,dried toppings oh wow put in the
225,230,oven to dehydrate
